,address,city,accuracy,resultType,lat,lng,countryCode,stateCode,postalCode
47,"Chennai|Petrol Pump Vijayalkshmi Agency, Sampath Road, Vepery, Chennai 600007, India",Chennai,100.0,place,13.08651,80.26091,IND,TN,600007
48,"Chennai|Indian Oil Petrol Pump, Vepery, Chennai 600007, India",Chennai,100.0,place,13.0864,80.26084,IND,TN,600007
49,"Chennai|BHARAT PETROLEUM, Egmore, Chennai 600008, India",Chennai,100.0,place,13.07615,80.26483,IND,TN,600008
50,"Chandigarh|Gurdial Singh Sons, Block A, Sector 22, Chandigarh 160022, India",Chandigarh,100.0,place,30.73684,76.77621,IND,CH,160022
51,"Chandigarh|Kay Tee Service Statio, Sector 17 Road, Block E, Sector 17, Chandigarh 160017, India",Chandigarh,100.0,place,30.73814,76.78139,IND,CH,160017
52,"Chandigarh|Hindustan Petroleum, Sector 22 Road, Block B, Sector 22, Chandigarh 160022, India",Chandigarh,100.0,street,30.73101,76.77325,IND,CH,160022
53,"Chandigarh|BPCL, Sector 17 Road, Block E, Sector 17, Chandigarh 160017, India",Chandigarh,97.17,street,30.7425,76.78142,IND,CH,160017
54,"Chandigarh|Petrol Pump, Block A, Sector 22, Chandigarh 160022, India",Chandigarh,100.0,place,30.73858,76.77465,IND,CH,160022
55,"Chandigarh|Kapur Service Station, Service Road, Block D, Sector 21, Chandigarh 160022, India",Chandigarh,100.0,place,30.72413,76.77053,IND,CH,160022
56,"Chandigarh|Bharat Petroleum, Service Road, Block C, Sector 22, Chandigarh 160022, India",Chandigarh,100.0,place,30.72921,76.76628,IND,CH,160022
57,"Chandigarh|Auto LPG Pump, Block C, Sector 21, Chandigarh 160022, India",Chandigarh,100.0,place,30.72318,76.77158,IND,CH,160022
58,"Chandigarh|Hindustan Petroleum, Block B, Sector 17, Chandigarh 160017, India",Chandigarh,94.6,street,30.7425,76.78142,IND,CH,160017
59,"Chandigarh|Bharat Petroleum, Block C, Sector 21, Chandigarh 160022, India",Chandigarh,100.0,place,30.72308,76.77161,IND,CH,160022
60,"Kolkata|HP GAS, Raja Ram Mohan Roy Sarani, Amherst Street, College Street, Kolkata 700012, India",Kolkata,100.0,place,22.57417,88.36742,IND,WB,700012
61,"Kolkata|HP Petrol Pump, 21-A, Tiretti, Kolkata 700073, India",Kolkata,100.0,place,22.57277,88.35819,IND,WB,700073
62,"Kolkata|Bharat Petroleum Petrol Pump, Amherst Street, Amherst Street, College Street, Kolkata 700009, India",Kolkata,100.0,place,22.57651,88.36865,IND,WB,700009
63,"Kolkata|Indian Oil, Jadunath Dey Road, Central, Bow Bazar, Kolkata 700012, India",Kolkata,100.0,place,22.56839,88.35841,IND,WB,700012
64,"Kolkata|Bharat Petroleum, Baithakkhana-Mirzapur Pally, Sealdah, Kolkata 700012, India",Kolkata,100.0,place,22.57139,88.37131,IND,WB,700012
